04-07 19:30:41.243:16283.421:1
04-07 19:30:41.244:16283.421:1
04-07 19:30:41.245:16283.421:1
04-07 19:30:41.246:16283.421:1
04-07 19:30:41.248:16283.421:1
04-07 19:30:41.249:16283.421:1
04-07 19:30:41.25:16283.421:1
04-07 19:30:41.251:16283.421:1
04-07 19:30:41.252:16283.421:1
04-07 19:30:41.253:16283.421:1
04-07 19:30:41.255:16283.421:1
04-07 19:30:41.256:16283.421:1
04-07 19:30:41.257:16283.421:1
04-07 19:30:41.258:16283.421:1
04-07 19:30:41.259:16283.421:1
04-07 19:30:41.261:16283.421:1
04-07 19:30:41.262:16283.421:1
04-07 19:30:41.263:16283.421:1
04-07 19:30:41.264:16283.421:1
04-07 19:30:41.265:16283.421:1
04-07 19:30:41.267:16283.421:1
04-07 19:30:41.268:16283.421:1
04-07 19:30:41.269:16283.421:1
04-07 19:30:41.27:16283.421:1
04-07 19:30:41.271:16283.421:1
04-07 19:30:41.272:16283.421:1
04-07 19:30:41.274:16283.421:1
04-07 19:30:41.275:85.28494:0
04-07 19:30:41.276:85.28494:0
04-07 19:30:41.277:85.28494:0
04-07 19:30:41.278:85.28494:0
04-07 19:30:41.28:85.28494:0
04-07 19:30:41.281:85.28494:0
04-07 19:30:41.282:85.28494:0
04-07 19:30:41.283:85.28494:0
04-07 19:30:41.284:85.28494:0
04-07 19:30:41.285:85.28494:0
04-07 19:30:41.287:85.28494:0
04-07 19:30:41.288:85.28494:0
04-07 19:30:41.289:85.28494:0
04-07 19:30:41.29:85.28494:0
04-07 19:30:41.291:7.188226:0
04-07 19:30:41.292:7.188226:0
04-07 19:30:41.293:7.188226:0
04-07 19:30:41.301:7.188226:0
04-07 19:30:41.302:7.188226:0
04-07 19:30:41.304:7.188226:0
04-07 19:30:41.305:7.188226:0
04-07 19:30:41.306:7.188226:0
04-07 19:30:41.307:16093.646:1
04-07 19:30:41.308:16093.646:1
04-07 19:30:41.309:16093.646:1
04-07 19:30:41.311:16093.646:1
04-07 19:30:41.312:16093.646:1
04-07 19:30:41.313:16093.646:1
04-07 19:30:41.314:16093.646:1
04-07 19:30:41.315:16093.646:1
04-07 19:30:41.316:16093.646:1
04-07 19:30:41.318:16093.646:1
04-07 19:30:41.319:16093.646:1
04-07 19:30:41.32:16093.646:1
04-07 19:30:41.321:16093.646:1
04-07 19:30:41.322:16283.421:1
04-07 19:30:41.323:16283.421:1
04-07 19:30:41.324:16283.421:1
04-07 19:30:41.325:16283.421:1
04-07 19:30:41.327:16283.421:1
04-07 19:30:41.328:16283.421:1
04-07 19:30:41.329:16283.421:1
04-07 19:30:41.33:16283.421:1
04-07 19:30:41.331:16283.421:1
04-07 19:30:41.332:16283.421:1
04-07 19:30:41.334:16283.421:1
04-07 19:30:41.335:16283.421:1
04-07 19:30:41.336:16283.421:1
04-07 19:30:41.338:9.087543:0
04-07 19:30:41.339:9.087543:0
04-07 19:30:41.34:9.087543:0
04-07 19:30:41.341:9.087543:0
04-07 19:30:41.342:9.087543:0
04-07 19:30:41.344:9.087543:0
04-07 19:30:41.345:9.087543:0
04-07 19:30:41.346:9.087543:0
04-07 19:30:41.347:9.087543:0
04-07 19:30:41.348:9.087543:0
04-07 19:30:41.35:9.087543:0
04-07 19:30:41.351:9.087543:0
04-07 19:30:41.352:9.087543:0
04-07 19:30:41.353:9.087543:0
04-07 19:30:41.354:16283.421:1
04-07 19:30:41.355:16283.421:1
04-07 19:30:41.356:16283.421:1
04-07 19:30:41.357:16283.421:1
04-07 19:30:41.358:16283.421:1
04-07 19:30:41.36:16283.421:1
04-07 19:30:41.361:16283.421:1
04-07 19:30:41.362:16283.421:1
04-07 19:30:41.363:16283.421:1
04-07 19:30:41.364:16283.421:1
04-07 19:30:41.364:16283.421:1
04-07 19:30:41.366:16283.421:1
04-07 19:30:41.367:16283.421:1
04-07 19:30:41.368:16283.421:1
04-07 19:30:41.369:16283.421:1
04-07 19:30:41.37:16283.421:1
04-07 19:30:41.371:16283.421:1
04-07 19:30:41.373:16283.421:1
04-07 19:30:41.374:16283.421:1
04-07 19:30:41.375:16283.421:1
04-07 19:30:41.376:16283.421:1
04-07 19:30:41.377:16283.421:1
04-07 19:30:41.378:16283.421:1
04-07 19:30:41.38:16283.421:1
04-07 19:30:41.381:16283.421:1
04-07 19:30:41.382:16283.421:1
04-07 19:30:41.383:16283.421:1
04-07 19:30:41.384:11.899942:0
04-07 19:30:41.385:11.899942:0
04-07 19:30:41.387:11.899942:0
04-07 19:30:41.388:11.899942:0
04-07 19:30:41.389:11.899942:0
04-07 19:30:41.39:11.899942:0
04-07 19:30:41.391:11.899942:0
04-07 19:30:41.393:11.899942:0
04-07 19:30:41.394:11.899942:0
04-07 19:30:41.395:11.899942:0
04-07 19:30:41.396:11.899942:0
04-07 19:30:41.397:11.899942:0
04-07 19:30:41.398:11.899942:0
04-07 19:30:41.4:11.899942:0
04-07 19:30:41.401:4.9397187:0
04-07 19:30:41.402:4.9397187:0
04-07 19:30:41.404:4.9397187:0
04-07 19:30:41.405:4.9397187:0
04-07 19:30:41.406:4.9397187:0
04-07 19:30:41.407:4.9397187:0
04-07 19:30:41.408:4.9397187:0
04-07 19:30:41.409:4.9397187:0
04-07 19:30:41.411:4.9397187:0
04-07 19:30:41.412:4.9397187:0
04-07 19:30:41.413:4.9397187:0
04-07 19:30:41.414:4.9397187:0
04-07 19:30:41.416:4.047168:0
04-07 19:30:41.417:4.047168:0
04-07 19:30:41.418:4.047168:0
04-07 19:30:41.419:4.047168:0
04-07 19:30:41.42:4.047168:0
04-07 19:30:41.421:4.047168:0
04-07 19:30:41.423:4.047168:0
04-07 19:30:41.424:4.047168:0
04-07 19:30:41.425:4.047168:0
04-07 19:30:41.426:4.047168:0
04-07 19:30:41.427:4.047168:0
04-07 19:30:41.428:4.047168:0
04-07 19:30:41.43:4.047168:0
04-07 19:30:41.431:4.047168:0
04-07 19:30:41.432:16093.646:1
04-07 19:30:41.433:16093.646:1
04-07 19:30:41.435:16093.646:1
04-07 19:30:41.436:16093.646:1
04-07 19:30:41.437:16093.646:1
04-07 19:30:41.438:16093.646:1
04-07 19:30:41.439:16093.646:1
04-07 19:30:41.441:16093.646:1
04-07 19:30:41.442:16093.646:1
04-07 19:30:41.443:16093.646:1
04-07 19:30:41.444:16093.646:1
04-07 19:30:41.445:16093.646:1
04-07 19:30:41.447:16093.646:1
04-07 19:30:41.448:16093.646:1
04-07 19:30:41.449:16093.646:1
04-07 19:30:41.45:16093.646:1
04-07 19:30:41.451:16093.646:1
04-07 19:30:41.452:16093.646:1
04-07 19:30:41.454:16093.646:1
04-07 19:30:41.455:16093.646:1
04-07 19:30:41.456:16093.646:1
04-07 19:30:41.457:16093.646:1
04-07 19:30:41.459:16093.646:1
04-07 19:30:41.46:16093.646:1
04-07 19:30:41.461:16093.646:1
04-07 19:30:41.462:16093.646:1
04-07 19:30:41.463:9.303126:0
04-07 19:30:41.464:9.303126:0
04-07 19:30:41.465:9.303126:0
04-07 19:30:41.466:9.303126:0
04-07 19:30:41.467:9.303126:0
04-07 19:30:41.467:9.303126:0
04-07 19:30:41.468:9.303126:0
04-07 19:30:41.47:9.303126:0
04-07 19:30:41.471:9.303126:0
04-07 19:30:41.472:9.303126:0
04-07 19:30:41.473:9.303126:0
04-07 19:30:41.474:9.303126:0
04-07 19:30:41.475:9.303126:0
04-07 19:30:41.477:9.303126:0
04-07 19:30:41.478:16093.646:1
04-07 19:30:41.479:16093.646:1
04-07 19:30:41.48:16093.646:1
04-07 19:30:41.482:16093.646:1
04-07 19:30:41.483:16093.646:1
04-07 19:30:41.484:16093.646:1
04-07 19:30:41.485:16093.646:1
04-07 19:30:41.486:16093.646:1
04-07 19:30:41.486:16093.646:1
04-07 19:30:41.487:16093.646:1
04-07 19:30:41.489:16093.646:1
04-07 19:30:41.49:16093.646:1
04-07 19:30:41.491:16093.646:1
04-07 19:30:41.492:16093.646:1
04-07 19:30:41.494:16283.421:1
04-07 19:30:41.495:16283.421:1
04-07 19:30:41.496:16283.421:1
04-07 19:30:41.497:16283.421:1
04-07 19:30:41.498:16283.421:1
04-07 19:30:41.5:16283.421:1
04-07 19:30:41.501:16283.421:1
04-07 19:30:41.502:16283.421:1
04-07 19:30:41.503:16283.421:1
04-07 19:30:41.504:16283.421:1
04-07 19:30:41.505:16283.421:1
04-07 19:30:41.507:16283.421:1
04-07 19:30:41.508:16283.421:1
04-07 19:30:41.509:16283.421:1
04-07 19:30:41.51:11.488707:0
04-07 19:30:41.511:11.488707:0
04-07 19:30:41.512:11.488707:0
04-07 19:30:41.513:11.488707:0
04-07 19:30:41.515:11.488707:0
04-07 19:30:41.516:11.488707:0
04-07 19:30:41.517:11.488707:0
04-07 19:30:41.518:11.488707:0
04-07 19:30:41.519:11.488707:0
04-07 19:30:41.521:11.488707:0
04-07 19:30:41.522:11.488707:0
04-07 19:30:41.523:11.488707:0
04-07 19:30:41.524:11.488707:0
04-07 19:30:41.525:11.488707:0
04-07 19:30:41.526:11.488707:0
04-07 19:30:41.528:11.488707:0
04-07 19:30:41.529:11.488707:0
04-07 19:30:41.53:11.488707:0
04-07 19:30:41.531:11.488707:0
04-07 19:30:41.532:11.488707:0
04-07 19:30:41.532:11.488707:0
04-07 19:30:41.534:16283.421:1
04-07 19:30:41.535:16283.421:1
04-07 19:30:41.536:16283.421:1
04-07 19:30:41.538:16283.421:1
04-07 19:30:41.539:16283.421:1
04-07 19:30:41.54:16283.421:1
04-07 19:30:41.541:16283.421:1
04-07 19:30:41.542:16283.421:1
04-07 19:30:41.543:16283.421:1
04-07 19:30:41.545:16283.421:1
04-07 19:30:41.546:16283.421:1
04-07 19:30:41.547:16283.421:1
04-07 19:30:41.548:16283.421:1
04-07 19:30:41.549:16475.434:1
04-07 19:30:41.55:16475.434:1
04-07 19:30:41.551:16475.434:1
04-07 19:30:41.552:16475.434:1
04-07 19:30:41.553:16475.434:1
04-07 19:30:41.554:16475.434:1
04-07 19:30:41.556:16475.434:1
04-07 19:30:41.557:16475.434:1
04-07 19:30:41.558:16475.434:1
04-07 19:30:41.559:16475.434:1
04-07 19:30:41.56:16475.434:1
04-07 19:30:41.561:16475.434:1
04-07 19:30:41.563:16475.434:1
04-07 19:30:41.564:16669.709:1
04-07 19:30:41.565:16669.709:1
04-07 19:30:41.566:16669.709:1
04-07 19:30:41.567:16669.709:1
04-07 19:30:41.569:16669.709:1
04-07 19:30:41.57:16669.709:1
04-07 19:30:41.571:16669.709:1
04-07 19:30:41.572:16669.709:1
04-07 19:30:41.573:16669.709:1
04-07 19:30:41.575:16669.709:1
04-07 19:30:41.576:16669.709:1
04-07 19:30:41.577:16669.709:1
04-07 19:30:41.578:16669.709:1
04-07 19:30:41.58:21.135637:0
04-07 19:30:41.581:21.135637:0
04-07 19:30:41.582:21.135637:0
04-07 19:30:41.583:21.135637:0
04-07 19:30:41.584:21.135637:0
04-07 19:30:41.586:21.135637:0
04-07 19:30:41.587:21.135637:0
04-07 19:30:41.588:21.135637:0
04-07 19:30:41.589:21.135637:0
04-07 19:30:41.59:21.135637:0
04-07 19:30:41.591:21.135637:0
04-07 19:30:41.593:21.135637:0
04-07 19:30:41.594:21.135637:0
04-07 19:30:41.595:21.135637:0
04-07 19:30:41.596:5.958843:0
04-07 19:30:41.597:5.958843:0
04-07 19:30:41.598:5.958843:0
04-07 19:30:41.599:5.958843:0
04-07 19:30:41.6:5.958843:0
04-07 19:30:41.601:5.958843:0
04-07 19:30:41.603:5.958843:0
04-07 19:30:41.604:5.958843:0
04-07 19:30:41.605:5.958843:0
04-07 19:30:41.606:5.958843:0
04-07 19:30:41.607:5.958843:0
04-07 19:30:41.608:5.958843:0
04-07 19:30:41.61:5.958843:0
04-07 19:30:41.611:4.047168:0
04-07 19:30:41.612:4.047168:0
04-07 19:30:41.613:4.047168:0
04-07 19:30:41.614:4.047168:0
04-07 19:30:41.616:4.047168:0
04-07 19:30:41.617:4.047168:0
04-07 19:30:41.618:4.047168:0
04-07 19:30:41.619:4.047168:0
04-07 19:30:41.62:4.047168:0
04-07 19:30:41.621:4.047168:0
04-07 19:30:41.622:4.047168:0
04-07 19:30:41.624:4.047168:0
04-07 19:30:41.625:4.047168:0
04-07 19:30:41.626:4.047168:0
04-07 19:30:41.626:15720.698:1
04-07 19:30:41.628:15720.698:1
04-07 19:30:41.629:15720.698:1
