03-29 21:33:7.754:15537.482:1
03-29 21:33:7.755:15537.482:1
03-29 21:33:7.757:15537.482:1
03-29 21:33:7.758:15537.482:1
03-29 21:33:7.759:15537.482:1
03-29 21:33:7.76:15537.482:1
03-29 21:33:7.762:15537.482:1
03-29 21:33:7.763:15537.482:1
03-29 21:33:7.764:15537.482:1
03-29 21:33:7.765:15537.482:1
03-29 21:33:7.766:15537.482:1
03-29 21:33:7.768:15537.482:1
03-29 21:33:7.769:15537.482:1
03-29 21:33:7.77:15537.482:1
03-29 21:33:7.772:15537.482:1
03-29 21:33:7.773:15177.432:1
03-29 21:33:7.774:15177.432:1
03-29 21:33:7.775:15177.432:1
03-29 21:33:7.776:15177.432:1
03-29 21:33:7.777:15177.432:1
03-29 21:33:7.779:15177.432:1
03-29 21:33:7.78:15177.432:1
03-29 21:33:7.781:15177.432:1
03-29 21:33:7.782:15177.432:1
03-29 21:33:7.783:15177.432:1
03-29 21:33:7.784:15177.432:1
03-29 21:33:7.786:15177.432:1
03-29 21:33:7.787:15177.432:1
03-29 21:33:7.788:477.8414:0
03-29 21:33:7.789:477.8414:0
03-29 21:33:7.791:477.8414:0
03-29 21:33:7.792:477.8414:0
03-29 21:33:7.793:477.8414:0
03-29 21:33:7.794:477.8414:0
03-29 21:33:7.795:477.8414:0
03-29 21:33:7.796:477.8414:0
03-29 21:33:7.797:477.8414:0
03-29 21:33:7.799:477.8414:0
03-29 21:33:7.8:477.8414:0
03-29 21:33:7.801:477.8414:0
03-29 21:33:7.802:477.8414:0
03-29 21:33:7.803:34.58177:0
03-29 21:33:7.804:34.58177:0
03-29 21:33:7.806:34.58177:0
03-29 21:33:7.807:34.58177:0
03-29 21:33:7.808:34.58177:0
03-29 21:33:7.809:34.58177:0
03-29 21:33:7.81:34.58177:0
03-29 21:33:7.811:34.58177:0
03-29 21:33:7.813:34.58177:0
03-29 21:33:7.816:34.58177:0
03-29 21:33:7.817:34.58177:0
03-29 21:33:7.818:34.58177:0
03-29 21:33:7.82:15177.432:1
03-29 21:33:7.821:15177.432:1
03-29 21:33:7.823:15177.432:1
03-29 21:33:7.824:15177.432:1
03-29 21:33:7.825:15177.432:1
03-29 21:33:7.826:15177.432:1
03-29 21:33:7.827:15177.432:1
03-29 21:33:7.828:15177.432:1
03-29 21:33:7.829:15177.432:1
03-29 21:33:7.831:15177.432:1
03-29 21:33:7.832:15177.432:1
03-29 21:33:7.833:15177.432:1
03-29 21:33:7.834:15177.432:1
03-29 21:33:7.835:15177.432:1
03-29 21:33:7.836:15177.432:1
03-29 21:33:7.838:15177.432:1
03-29 21:33:7.839:15177.432:1
03-29 21:33:7.84:15177.432:1
03-29 21:33:7.841:15177.432:1
03-29 21:33:7.842:15177.432:1
03-29 21:33:7.843:15177.432:1
03-29 21:33:7.844:15177.432:1
03-29 21:33:7.846:15177.432:1
03-29 21:33:7.847:15177.432:1
03-29 21:33:7.848:15177.432:1
03-29 21:33:7.849:15177.432:1
03-29 21:33:7.85:256.71332:0
03-29 21:33:7.851:256.71332:0
03-29 21:33:7.852:256.71332:0
03-29 21:33:7.854:256.71332:0
03-29 21:33:7.855:256.71332:0
03-29 21:33:7.856:256.71332:0
03-29 21:33:7.857:256.71332:0
03-29 21:33:7.858:256.71332:0
03-29 21:33:7.859:256.71332:0
03-29 21:33:7.861:256.71332:0
03-29 21:33:7.862:256.71332:0
03-29 21:33:7.863:256.71332:0
03-29 21:33:7.864:256.71332:0
03-29 21:33:7.865:256.71332:0
03-29 21:33:7.867:15720.698:1
03-29 21:33:7.868:15720.698:1
03-29 21:33:7.869:15720.698:1
03-29 21:33:7.871:15720.698:1
03-29 21:33:7.872:15720.698:1
03-29 21:33:7.873:15720.698:1
03-29 21:33:7.874:15720.698:1
03-29 21:33:7.875:15720.698:1
03-29 21:33:7.876:15720.698:1
03-29 21:33:7.877:15720.698:1
03-29 21:33:7.879:15720.698:1
03-29 21:33:7.88:15720.698:1
03-29 21:33:7.881:15720.698:1
03-29 21:33:7.882:82.337685:0
03-29 21:33:7.883:82.337685:0
03-29 21:33:7.884:82.337685:0
03-29 21:33:7.884:82.337685:0
03-29 21:33:7.885:82.337685:0
03-29 21:33:7.886:82.337685:0
03-29 21:33:7.888:82.337685:0
03-29 21:33:7.889:82.337685:0
03-29 21:33:7.89:82.337685:0
03-29 21:33:7.891:82.337685:0
03-29 21:33:7.892:82.337685:0
03-29 21:33:7.893:82.337685:0
03-29 21:33:7.894:82.337685:0
03-29 21:33:7.896:82.337685:0
03-29 21:33:7.897:82.337685:0
03-29 21:33:7.897:15356.401:1
03-29 21:33:7.898:15356.401:1
03-29 21:33:7.9:15356.401:1
03-29 21:33:7.901:15356.401:1
03-29 21:33:7.902:15356.401:1
03-29 21:33:7.903:15356.401:1
03-29 21:33:7.904:15356.401:1
03-29 21:33:7.905:15356.401:1
03-29 21:33:7.906:15356.401:1
03-29 21:33:7.908:15356.401:1
03-29 21:33:7.909:15356.401:1
03-29 21:33:7.91:15356.401:1
03-29 21:33:7.911:15356.401:1
03-29 21:33:7.912:15356.401:1
03-29 21:33:7.914:45.818077:0
03-29 21:33:7.915:45.818077:0
03-29 21:33:7.916:45.818077:0
03-29 21:33:7.917:45.818077:0
03-29 21:33:7.919:45.818077:0
03-29 21:33:7.92:45.818077:0
03-29 21:33:7.921:45.818077:0
03-29 21:33:7.922:45.818077:0
03-29 21:33:7.923:45.818077:0
03-29 21:33:7.924:45.818077:0
03-29 21:33:7.925:45.818077:0
03-29 21:33:7.927:45.818077:0
03-29 21:33:7.928:45.818077:0
03-29 21:33:7.929:15177.432:1
03-29 21:33:7.93:15177.432:1
03-29 21:33:7.931:15177.432:1
03-29 21:33:7.932:15177.432:1
03-29 21:33:7.933:15177.432:1
03-29 21:33:7.934:15177.432:1
03-29 21:33:7.935:15177.432:1
03-29 21:33:7.937:15177.432:1
03-29 21:33:7.938:15177.432:1
03-29 21:33:7.939:15177.432:1
03-29 21:33:7.94:15177.432:1
03-29 21:33:7.941:15177.432:1
03-29 21:33:7.942:15177.432:1
03-29 21:33:7.943:15177.432:1
03-29 21:33:7.945:33.386703:0
03-29 21:33:7.946:33.386703:0
03-29 21:33:7.948:33.386703:0
03-29 21:33:7.949:33.386703:0
03-29 21:33:7.95:33.386703:0
03-29 21:33:7.951:33.386703:0
