03-30 13:58:35.953:15537.482:1
03-30 13:58:35.955:15537.482:1
03-30 13:58:35.956:15537.482:1
03-30 13:58:35.957:15537.482:1
03-30 13:58:35.957:15537.482:1
03-30 13:58:35.958:15537.482:1
03-30 13:58:35.96:15537.482:1
03-30 13:58:35.961:15537.482:1
03-30 13:58:35.962:15537.482:1
03-30 13:58:35.963:15537.482:1
03-30 13:58:35.964:15537.482:1
03-30 13:58:35.966:15537.482:1
03-30 13:58:35.967:15537.482:1
03-30 13:58:35.968:15537.482:1
03-30 13:58:35.969:253.72148:0
03-30 13:58:35.97:253.72148:0
03-30 13:58:35.972:253.72148:0
03-30 13:58:35.973:253.72148:0
03-30 13:58:35.974:253.72148:0
03-30 13:58:35.975:253.72148:0
03-30 13:58:35.976:253.72148:0
03-30 13:58:35.977:253.72148:0
03-30 13:58:35.979:253.72148:0
03-30 13:58:35.98:253.72148:0
03-30 13:58:35.981:253.72148:0
03-30 13:58:35.982:253.72148:0
03-30 13:58:35.983:253.72148:0
03-30 13:58:35.985:15537.482:1
03-30 13:58:35.986:15537.482:1
03-30 13:58:35.987:15537.482:1
03-30 13:58:35.988:15537.482:1
03-30 13:58:35.99:15537.482:1
03-30 13:58:35.991:15537.482:1
03-30 13:58:35.992:15537.482:1
03-30 13:58:35.993:15537.482:1
03-30 13:58:35.994:15537.482:1
03-30 13:58:35.996:15537.482:1
03-30 13:58:35.997:15537.482:1
03-30 13:58:35.998:15537.482:1
03-30 13:58:35.999:15537.482:1
03-30 13:58:36:15537.482:1
03-30 13:58:36.002:48.583977:0
03-30 13:58:36.003:48.583977:0
03-30 13:58:36.004:48.583977:0
03-30 13:58:36.006:48.583977:0
03-30 13:58:36.007:48.583977:0
03-30 13:58:36.008:48.583977:0
03-30 13:58:36.009:48.583977:0
03-30 13:58:36.01:48.583977:0
03-30 13:58:36.012:48.583977:0
03-30 13:58:36.013:48.583977:0
03-30 13:58:36.014:48.583977:0
03-30 13:58:36.015:48.583977:0
03-30 13:58:36.016:15537.482:1
03-30 13:58:36.017:15537.482:1
03-30 13:58:36.019:15537.482:1
03-30 13:58:36.02:15537.482:1
03-30 13:58:36.021:15537.482:1
03-30 13:58:36.022:15537.482:1
03-30 13:58:36.023:15537.482:1
03-30 13:58:36.025:15537.482:1
03-30 13:58:36.026:15537.482:1
03-30 13:58:36.027:15537.482:1
03-30 13:58:36.028:15537.482:1
03-30 13:58:36.029:15537.482:1
03-30 13:58:36.031:15537.482:1
03-30 13:58:36.032:25.49618:0
03-30 13:58:36.033:25.49618:0
03-30 13:58:36.034:25.49618:0
03-30 13:58:36.034:25.49618:0
03-30 13:58:36.035:25.49618:0
03-30 13:58:36.036:25.49618:0
03-30 13:58:36.038:25.49618:0
03-30 13:58:36.039:25.49618:0
03-30 13:58:36.04:25.49618:0
03-30 13:58:36.041:25.49618:0
03-30 13:58:36.043:25.49618:0
03-30 13:58:36.044:25.49618:0
03-30 13:58:36.045:25.49618:0
03-30 13:58:36.046:25.49618:0
03-30 13:58:36.048:15720.698:1
03-30 13:58:36.049:15720.698:1
03-30 13:58:36.051:15720.698:1
03-30 13:58:36.052:15720.698:1
03-30 13:58:36.053:15720.698:1
03-30 13:58:36.054:15720.698:1
03-30 13:58:36.055:15720.698:1
03-30 13:58:36.057:15720.698:1
03-30 13:58:36.058:15720.698:1
03-30 13:58:36.059:15720.698:1
03-30 13:58:36.06:15720.698:1
03-30 13:58:36.061:15720.698:1
03-30 13:58:36.063:15720.698:1
03-30 13:58:36.064:17.114851:0
03-30 13:58:36.064:17.114851:0
03-30 13:58:36.065:17.114851:0
03-30 13:58:36.067:17.114851:0
03-30 13:58:36.068:17.114851:0
03-30 13:58:36.069:17.114851:0
03-30 13:58:36.07:17.114851:0
03-30 13:58:36.071:17.114851:0
03-30 13:58:36.073:17.114851:0
03-30 13:58:36.074:17.114851:0
03-30 13:58:36.075:17.114851:0
03-30 13:58:36.076:17.114851:0
03-30 13:58:36.077:17.114851:0
03-30 13:58:36.078:15720.698:1
03-30 13:58:36.08:15720.698:1
03-30 13:58:36.081:15720.698:1
03-30 13:58:36.082:15720.698:1
03-30 13:58:36.083:15720.698:1
03-30 13:58:36.084:15720.698:1
03-30 13:58:36.086:15720.698:1
03-30 13:58:36.087:15720.698:1
03-30 13:58:36.088:15720.698:1
03-30 13:58:36.089:15720.698:1
03-30 13:58:36.09:15720.698:1
03-30 13:58:36.092:15720.698:1
03-30 13:58:36.093:15720.698:1
03-30 13:58:36.094:15720.698:1
03-30 13:58:36.094:15720.698:1
03-30 13:58:36.096:12.618305:0
03-30 13:58:36.097:12.618305:0
03-30 13:58:36.098:12.618305:0
03-30 13:58:36.1:12.618305:0
03-30 13:58:36.101:12.618305:0
03-30 13:58:36.102:12.618305:0
03-30 13:58:36.103:12.618305:0
