03-30 13:57:28.18:19187.705:1
03-30 13:57:28.181:19187.705:1
03-30 13:57:28.182:19187.705:1
03-30 13:57:28.184:19187.705:1
03-30 13:57:28.185:19187.705:1
03-30 13:57:28.186:19187.705:1
03-30 13:57:28.188:19187.705:1
03-30 13:57:28.189:19187.705:1
03-30 13:57:28.19:19187.705:1
03-30 13:57:28.191:19187.705:1
03-30 13:57:28.192:19187.705:1
03-30 13:57:28.194:19187.705:1
03-30 13:57:28.195:19187.705:1
03-30 13:57:28.196:189.26761:0
03-30 13:57:28.197:189.26761:0
03-30 13:57:28.198:189.26761:0
03-30 13:57:28.199:189.26761:0
03-30 13:57:28.2:189.26761:0
03-30 13:57:28.202:189.26761:0
03-30 13:57:28.203:189.26761:0
03-30 13:57:28.204:189.26761:0
03-30 13:57:28.205:189.26761:0
03-30 13:57:28.207:189.26761:0
03-30 13:57:28.208:189.26761:0
03-30 13:57:28.209:189.26761:0
03-30 13:57:28.21:189.26761:0
03-30 13:57:28.211:19187.705:1
03-30 13:57:28.213:19187.705:1
03-30 13:57:28.214:19187.705:1
03-30 13:57:28.215:19187.705:1
03-30 13:57:28.216:19187.705:1
03-30 13:57:28.217:19187.705:1
03-30 13:57:28.219:19187.705:1
03-30 13:57:28.22:19187.705:1
03-30 13:57:28.221:19187.705:1
03-30 13:57:28.222:19187.705:1
03-30 13:57:28.223:19187.705:1
03-30 13:57:28.225:19187.705:1
03-30 13:57:28.226:19187.705:1
03-30 13:57:28.227:21.135637:0
03-30 13:57:28.228:21.135637:0
03-30 13:57:28.229:21.135637:0
03-30 13:57:28.231:21.135637:0
03-30 13:57:28.232:21.135637:0
03-30 13:57:28.233:21.135637:0
03-30 13:57:28.234:21.135637:0
03-30 13:57:28.235:21.135637:0
03-30 13:57:28.237:21.135637:0
03-30 13:57:28.238:21.135637:0
03-30 13:57:28.239:21.135637:0
03-30 13:57:28.239:21.135637:0
03-30 13:57:28.24:21.135637:0
03-30 13:57:28.242:21.135637:0
03-30 13:57:28.242:19874.518:1
03-30 13:57:28.244:19874.518:1
03-30 13:57:28.245:19874.518:1
03-30 13:57:28.246:19874.518:1
03-30 13:57:28.247:19874.518:1
03-30 13:57:28.249:19874.518:1
03-30 13:57:28.25:19874.518:1
03-30 13:57:28.251:19874.518:1
03-30 13:57:28.252:19874.518:1
03-30 13:57:28.253:19874.518:1
03-30 13:57:28.255:19874.518:1
03-30 13:57:28.256:19874.518:1
03-30 13:57:28.257:19874.518:1
03-30 13:57:28.258:19874.518:1
03-30 13:57:28.259:19874.518:1
03-30 13:57:28.261:19874.518:1
03-30 13:57:28.262:19874.518:1
03-30 13:57:28.263:19874.518:1
03-30 13:57:28.263:19874.518:1
03-30 13:57:28.264:19874.518:1
03-30 13:57:28.266:19874.518:1
03-30 13:57:28.267:19874.518:1
03-30 13:57:28.268:19874.518:1
03-30 13:57:28.269:19874.518:1
03-30 13:57:28.27:19874.518:1
03-30 13:57:28.272:19874.518:1
03-30 13:57:28.273:19874.518:1
03-30 13:57:28.274:19874.518:1
03-30 13:57:28.275:40.27479:0
03-30 13:57:28.276:40.27479:0
03-30 13:57:28.277:40.27479:0
03-30 13:57:28.278:40.27479:0
03-30 13:57:28.28:40.27479:0
03-30 13:57:28.281:40.27479:0
03-30 13:57:28.282:40.27479:0
03-30 13:57:28.283:40.27479:0
03-30 13:57:28.284:40.27479:0
03-30 13:57:28.286:40.27479:0
03-30 13:57:28.287:40.27479:0
03-30 13:57:28.288:40.27479:0
03-30 13:57:28.289:40.27479:0
03-30 13:57:28.291:19187.705:1
03-30 13:57:28.292:19187.705:1
03-30 13:57:28.293:19187.705:1
03-30 13:57:28.294:19187.705:1
03-30 13:57:28.295:19187.705:1
03-30 13:57:28.297:19187.705:1
03-30 13:57:28.298:19187.705:1
03-30 13:57:28.299:19187.705:1
03-30 13:57:28.3:19187.705:1
03-30 13:57:28.301:19187.705:1
03-30 13:57:28.303:19187.705:1
03-30 13:57:28.304:19187.705:1
03-30 13:57:28.305:19187.705:1
03-30 13:57:28.305:14.355047:0
03-30 13:57:28.306:14.355047:0
03-30 13:57:28.308:14.355047:0
03-30 13:57:28.309:14.355047:0
03-30 13:57:28.31:14.355047:0
03-30 13:57:28.311:14.355047:0
03-30 13:57:28.312:14.355047:0
03-30 13:57:28.314:14.355047:0
03-30 13:57:28.315:14.355047:0
03-30 13:57:28.316:14.355047:0
03-30 13:57:28.317:14.355047:0
03-30 13:57:28.318:14.355047:0
03-30 13:57:28.32:14.355047:0
03-30 13:57:28.321:203.05972:0
03-30 13:57:28.322:203.05972:0
03-30 13:57:28.323:203.05972:0
03-30 13:57:28.324:203.05972:0
03-30 13:57:28.325:203.05972:0
03-30 13:57:28.327:203.05972:0
03-30 13:57:28.328:203.05972:0
03-30 13:57:28.329:203.05972:0
03-30 13:57:28.33:203.05972:0
03-30 13:57:28.331:203.05972:0
03-30 13:57:28.333:203.05972:0
03-30 13:57:28.334:203.05972:0
03-30 13:57:28.335:203.05972:0
03-30 13:57:28.336:203.05972:0
03-30 13:57:28.338:18743.057:1
03-30 13:57:28.339:18743.057:1
03-30 13:57:28.34:18743.057:1
03-30 13:57:28.341:18743.057:1
03-30 13:57:28.343:18743.057:1
03-30 13:57:28.344:18743.057:1
03-30 13:57:28.345:18743.057:1
03-30 13:57:28.346:18743.057:1
03-30 13:57:28.348:18743.057:1
03-30 13:57:28.349:18743.057:1
03-30 13:57:28.35:18743.057:1
03-30 13:57:28.351:18743.057:1
03-30 13:57:28.353:19.700079:0
03-30 13:57:28.354:19.700079:0
03-30 13:57:28.355:19.700079:0
03-30 13:57:28.357:19.700079:0
03-30 13:57:28.358:19.700079:0
03-30 13:57:28.359:19.700079:0
03-30 13:57:28.359:19.700079:0
03-30 13:57:28.36:19.700079:0
03-30 13:57:28.362:19.700079:0
03-30 13:57:28.363:19.700079:0
03-30 13:57:28.364:19.700079:0
03-30 13:57:28.365:19.700079:0
03-30 13:57:28.366:19.700079:0
03-30 13:57:28.368:18524.617:1
03-30 13:57:28.369:18524.617:1
03-30 13:57:28.37:18524.617:1
03-30 13:57:28.371:18524.617:1
03-30 13:57:28.372:18524.617:1
03-30 13:57:28.374:18524.617:1
03-30 13:57:28.375:18524.617:1
03-30 13:57:28.376:18524.617:1
03-30 13:57:28.376:18524.617:1
03-30 13:57:28.377:18524.617:1
03-30 13:57:28.379:18524.617:1
03-30 13:57:28.38:18524.617:1
03-30 13:57:28.381:18524.617:1
03-30 13:57:28.382:18524.617:1
03-30 13:57:28.383:18524.617:1
03-30 13:57:28.385:18524.617:1
03-30 13:57:28.386:18524.617:1
03-30 13:57:28.387:18524.617:1
03-30 13:57:28.388:18524.617:1
03-30 13:57:28.389:18524.617:1
03-30 13:57:28.391:18524.617:1
03-30 13:57:28.392:18524.617:1
03-30 13:57:28.393:18524.617:1
03-30 13:57:28.393:18524.617:1
03-30 13:57:28.394:18524.617:1
03-30 13:57:28.395:18524.617:1
03-30 13:57:28.397:18524.617:1
03-30 13:57:28.398:18524.617:1
03-30 13:57:28.399:35.81962:0
03-30 13:57:28.4:35.81962:0
03-30 13:57:28.401:35.81962:0
03-30 13:57:28.402:35.81962:0
03-30 13:57:28.404:35.81962:0
03-30 13:57:28.405:35.81962:0
03-30 13:57:28.406:35.81962:0
03-30 13:57:28.407:35.81962:0
