03-30 13:49:45.696: I/System.out(3255): Sensor Value:137.91545
03-30 13:49:45.712: I/System.out(3255): Sensor Value:52.738968
03-30 13:49:45.728: I/System.out(3255): Sensor Value:10069.432
03-30 13:49:45.743: I/System.out(3255): Sensor Value:14.355047
03-30 13:49:45.759: I/System.out(3255): Sensor Value:364.90973
03-30 13:49:45.774: I/System.out(3255): Sensor Value:9836.092
03-30 13:49:45.790: I/System.out(3255): Sensor Value:24.61509
03-30 13:49:45.805: I/System.out(3255): Sensor Value:10552.8545
03-30 13:49:45.821: I/System.out(3255): Sensor Value:11.899942
03-30 13:49:45.837: I/System.out(3255): Sensor Value:57.24932
03-30 13:49:45.852: I/System.out(3255): Sensor Value:10308.3125
03-30 13:49:45.868: I/System.out(3255): Sensor Value:15.221618
03-30 13:49:45.883: I/System.out(3255): Sensor Value:10069.432
03-30 13:49:45.914: I/System.out(3255): Sensor Value:29.347424
03-30 13:49:45.930: I/System.out(3255): Sensor Value:10429.866
03-30 13:49:45.946: I/System.out(3255): Sensor Value:12.182244
03-30 13:49:45.962: I/System.out(3255): Sensor Value:57.24932
03-30 13:49:45.978: I/System.out(3255): Sensor Value:10552.8545
03-30 13:49:45.993: I/System.out(3255): Sensor Value:14.355047
03-30 13:49:46.009: I/System.out(3255): Sensor Value:518.7076
03-30 13:49:46.024: I/System.out(3255): Sensor Value:10429.866
03-30 13:49:46.040: I/System.out(3255): Sensor Value:25.49618
03-30 13:49:46.055: I/System.out(3255): Sensor Value:10677.292
03-30 13:49:46.071: I/System.out(3255): Sensor Value:11.624182
03-30 13:49:46.087: I/System.out(3255): Sensor Value:59.997803
03-30 13:49:46.103: I/System.out(3255): Sensor Value:10429.866
03-30 13:49:46.119: I/System.out(3255): Sensor Value:14.695591
03-30 13:49:46.134: I/System.out(3255): Sensor Value:472.2724
03-30 13:49:46.149: I/System.out(3255): Sensor Value:10677.292
03-30 13:49:46.165: I/System.out(3255): Sensor Value:25.79683
03-30 13:49:46.180: I/System.out(3255): Sensor Value:10677.292
03-30 13:49:46.196: I/System.out(3255): Sensor Value:11.761253
03-30 13:49:46.212: I/System.out(3255): Sensor Value:61.421116
03-30 13:49:46.228: I/System.out(3255): Sensor Value:10930.594
03-30 13:49:46.244: I/System.out(3255): Sensor Value:14.868882
03-30 13:49:46.259: I/System.out(3255): Sensor Value:563.0684
03-30 13:49:46.274: I/System.out(3255): Sensor Value:10552.8545
03-30 13:49:46.290: I/System.out(3255): Sensor Value:26.408812
03-30 13:49:46.305: I/System.out(3255): Sensor Value:10930.594
03-30 13:49:46.321: I/System.out(3255): Sensor Value:11.899942
03-30 13:49:46.337: I/System.out(3255): Sensor Value:62.878216
03-30 13:49:46.353: I/System.out(3255): Sensor Value:10552.8545
03-30 13:49:46.369: I/System.out(3255): Sensor Value:15.044216
03-30 13:49:46.384: I/System.out(3255): Sensor Value:728.7328
03-30 13:49:46.399: I/System.out(3255): Sensor Value:10677.292
03-30 13:49:46.414: I/System.out(3255): Sensor Value:25.79683
03-30 13:49:46.430: I/System.out(3255): Sensor Value:11059.486
03-30 13:49:46.445: I/System.out(3255): Sensor Value:12.471245
03-30 13:49:46.462: I/System.out(3255): Sensor Value:90.433334
03-30 13:49:46.477: I/System.out(3255): Sensor Value:10930.594
03-30 13:49:46.492: I/System.out(3255): Sensor Value:16.718245
03-30 13:49:46.509: I/System.out(3255): Sensor Value:10677.292
03-30 13:49:46.540: I/System.out(3255): Sensor Value:28.667345
03-30 13:49:46.555: I/System.out(3255): Sensor Value:10930.594
03-30 13:49:46.571: I/System.out(3255): Sensor Value:12.182244
03-30 13:49:46.587: I/System.out(3255): Sensor Value:68.2557
03-30 13:49:46.603: I/System.out(3255): Sensor Value:10429.866
03-30 13:49:46.619: I/System.out(3255): Sensor Value:15.221618
03-30 13:49:46.634: I/System.out(3255): Sensor Value:1579.7557
03-30 13:49:46.649: I/System.out(3255): Sensor Value:10429.866
03-30 13:49:46.665: I/System.out(3255): Sensor Value:28.003027
03-30 13:49:46.680: I/System.out(3255): Sensor Value:10429.866
03-30 13:49:46.696: I/System.out(3255): Sensor Value:12.182244
03-30 13:49:46.712: I/System.out(3255): Sensor Value:72.37608
03-30 13:49:46.728: I/System.out(3255): Sensor Value:10677.292
03-30 13:49:46.744: I/System.out(3255): Sensor Value:15.221618
03-30 13:49:46.759: I/System.out(3255): Sensor Value:2409.2075
03-30 13:49:46.774: I/System.out(3255): Sensor Value:10429.866
03-30 13:49:46.790: I/System.out(3255): Sensor Value:28.333239
03-30 13:49:46.805: I/System.out(3255): Sensor Value:10930.594
03-30 13:49:46.821: I/System.out(3255): Sensor Value:12.618305
03-30 13:49:46.837: I/System.out(3255): Sensor Value:74.09305
03-30 13:49:46.852: I/System.out(3255): Sensor Value:10552.8545
03-30 13:49:46.868: I/System.out(3255): Sensor Value:17.114851
03-30 13:49:46.884: I/System.out(3255): Sensor Value:10552.8545
03-30 13:49:46.915: I/System.out(3255): Sensor Value:30.04363
03-30 13:49:46.931: I/System.out(3255): Sensor Value:10552.8545
03-30 13:49:46.946: I/System.out(3255): Sensor Value:12.182244
03-30 13:49:46.961: I/System.out(3255): Sensor Value:90.433334
03-30 13:49:46.977: I/System.out(3255): Sensor Value:11059.486
03-30 13:49:46.993: I/System.out(3255): Sensor Value:17.31667
03-30 13:49:47.008: I/System.out(3255): Sensor Value:10677.292
03-30 13:49:47.040: I/System.out(3255): Sensor Value:34.58177
03-30 13:49:47.055: I/System.out(3255): Sensor Value:10930.594
03-30 13:49:47.071: I/System.out(3255): Sensor Value:12.325897
03-30 13:49:47.087: I/System.out(3255): Sensor Value:81.37807
03-30 13:49:47.102: I/System.out(3255): Sensor Value:10552.8545
03-30 13:49:47.118: I/System.out(3255): Sensor Value:17.114851
03-30 13:49:47.133: I/System.out(3255): Sensor Value:10308.3125
03-30 13:49:47.165: I/System.out(3255): Sensor Value:31.119034
03-30 13:49:47.180: I/System.out(3255): Sensor Value:10552.8545
03-30 13:49:47.196: I/System.out(3255): Sensor Value:12.618305
03-30 13:49:47.212: I/System.out(3255): Sensor Value:84.29099
03-30 13:49:47.227: I/System.out(3255): Sensor Value:10308.3125
03-30 13:49:47.243: I/System.out(3255): Sensor Value:17.520866
03-30 13:49:47.259: I/System.out(3255): Sensor Value:10552.8545
03-30 13:49:47.274: I/System.out(3255): Sensor Value:10308.3125
03-30 13:49:47.290: I/System.out(3255): Sensor Value:30.756355
03-30 13:49:47.305: I/System.out(3255): Sensor Value:10930.594
03-30 13:49:47.321: I/System.out(3255): Sensor Value:12.618305
03-30 13:49:47.337: I/System.out(3255): Sensor Value:88.33769
03-30 13:49:47.352: I/System.out(3255): Sensor Value:10677.292
03-30 13:49:47.370: I/System.out(3255): Sensor Value:17.936516
03-30 13:49:47.384: I/System.out(3255): Sensor Value:298.97473
03-30 13:49:47.399: I/System.out(3255): Sensor Value:10308.3125
03-30 13:49:47.415: I/System.out(3255): Sensor Value:31.857273
03-30 13:49:47.430: I/System.out(3255): Sensor Value:9952.077
03-30 13:49:47.446: I/System.out(3255): Sensor Value:12.618305
03-30 13:49:47.463: I/System.out(3255): Sensor Value:94.77492
03-30 13:49:47.478: I/System.out(3255): Sensor Value:10069.432
03-30 13:49:47.492: I/System.out(3255): Sensor Value:17.520866
03-30 13:49:47.494: I/System.out(3255): Sensor Value:10069.432
03-30 13:49:47.508: I/System.out(3255): Sensor Value:76.74519
03-30 13:49:47.524: I/System.out(3255): Sensor Value:9836.092
03-30 13:49:47.539: I/System.out(3255): Sensor Value:36.66937
03-30 13:49:47.555: I/System.out(3255): Sensor Value:9836.092
03-30 13:49:47.570: I/System.out(3255): Sensor Value:13.53781
03-30 13:49:47.587: I/System.out(3255): Sensor Value:162.5138
03-30 13:49:47.603: I/System.out(3255): Sensor Value:9952.077
03-30 13:49:47.619: I/System.out(3255): Sensor Value:16.718245
03-30 13:49:47.634: I/System.out(3255): Sensor Value:9836.092
03-30 13:49:47.665: I/System.out(3255): Sensor Value:34.178734
03-30 13:49:47.680: I/System.out(3255): Sensor Value:9608.153
03-30 13:49:47.696: I/System.out(3255): Sensor Value:13.224094
03-30 13:49:47.712: I/System.out(3255): Sensor Value:106.56284
03-30 13:49:47.728: I/System.out(3255): Sensor Value:9608.153
03-30 13:49:47.744: I/System.out(3255): Sensor Value:17.114851
03-30 13:49:47.758: I/System.out(3255): Sensor Value:9836.092
03-30 13:49:47.790: I/System.out(3255): Sensor Value:35.402157
03-30 13:49:47.805: I/System.out(3255): Sensor Value:10308.3125
03-30 13:49:47.821: I/System.out(3255): Sensor Value:12.917649
03-30 13:49:47.837: I/System.out(3255): Sensor Value:111.67879
03-30 13:49:47.853: I/System.out(3255): Sensor Value:9721.457
03-30 13:49:47.868: I/System.out(3255): Sensor Value:17.114851
03-30 13:49:47.883: I/System.out(3255): Sensor Value:9608.153
03-30 13:49:47.915: I/System.out(3255): Sensor Value:36.66937
03-30 13:49:47.930: I/System.out(3255): Sensor Value:9385.503
03-30 13:49:47.946: I/System.out(3255): Sensor Value:13.069975
03-30 13:49:47.962: I/System.out(3255): Sensor Value:117.04037
03-30 13:49:47.978: I/System.out(3255): Sensor Value:9276.12
03-30 13:49:47.994: I/System.out(3255): Sensor Value:17.114851
03-30 13:49:48.009: I/System.out(3255): Sensor Value:9608.153
03-30 13:49:48.039: I/System.out(3255): Sensor Value:38.882988
03-30 13:49:48.055: I/System.out(3255): Sensor Value:9836.092
03-30 13:49:48.070: I/System.out(3255): Sensor Value:13.53781
03-30 13:49:48.072: I/System.out(3255): Sensor Value:225.65494
03-30 13:49:48.073: I/System.out(3255): Sensor Value:79.49228
